food temperature,food flavor,portion size,attentiveness,friendliness,speed of service,tip
0.00409885,0.998592351,0.50129553,0.032967219,0.541828604,0.569223951,12.0
0.282108468,0.459469648,-0.032293213,0.672237431,1.03326485,0.780600726,19.98733911
0.776767409,0.752571046,0.607890142,0.064566126,0.091970989,0.520505854,15.0
0.277897804,0.0732314,0.524065838,0.658514804,-0.013237461,0.4674729,15.00081024
0.014611292,0.250494441,0.807615988,0.516679519,0.77383524,1.014476056,15.0
0.26513572,0.011746402,-0.112729426,0.986280971,1.055884505,0.757010043,20.0
1.026952433,0.558000509,0.731864492,1.041863732,0.172810031,0.405695151,10.95404161
0.551300817,0.668831932,0.462957682,0.463072091,1.070905277,-0.05530359,10.0
0.665801622,0.748693173,0.53302126,0.736739926,0.503867706,0.229992913,23.93104615
0.814518071,0.993652612,-0.105324528,0.940349255,1.018212304,0.279290219,18.03193409
0.675092368,0.257102928,0.484491746,0.70456878,0.277474212,-0.052991598,10.0
0.741998249,-0.01778236,0.98423059,-6.16e-05,0.263205581,-0.048417883,2.0
0.087955651,0.243027727,1.046154789,0.859122694,-0.08860014,0.53273596,10.01849288
0.392449958,-0.118944331,-0.016477567,0.226771104,0.182344296,0.716004035,14.99757172
0.061106808,0.492034589,0.923415109,0.852885821,0.223495855,0.974698312,14.0
0.305176764,0.480660661,0.403191733,-0.033447655,0.73588115,0.555592395,5.093531993
0.539715952,0.091026636,0.049410774,-0.013782,1.088489961,0.721787159,16.03394352
0.776774943,0.298173718,0.771858247,1.01861203,1.032534115,-0.003915669,20.02604344
1.029756172,-0.017602918,0.515592577,0.722899563,0.833831353,0.990362549,12.0
0.523463906,0.080516781,0.803534877,0.272105746,0.70679256,0.519377465,15.0
0.474411318,0.029855106,0.984028987,0.502266707,0.960415936,0.035218672,15.0
0.769097512,0.60108991,0.9505791,0.239074947,0.710310029,0.47494382,20.01564009
-0.104807547,0.249024874,0.962203718,0.736642546,0.064626637,0.519578052,10.0
-0.05477371,0.423454909,1.122510094,0.542690622,0.764230814,0.36270814,10.0
0.836329808,-0.065573253,-0.1051897,1.002776444,0.778948588,0.210915957,18.0
0.554326914,0.676711717,0.734516808,-0.008645608,0.784640795,0.447553156,15.0
0.220400197,-0.018657254,0.044818901,0.266373927,0.993572492,0.956929748,14.96541924
0.230036567,0.547034672,0.698982939,0.705393201,0.000212835,0.232653827,10.0
0.735832844,1.024857703,0.951219867,0.288512667,0.436374405,0.501815979,20.18158568
0.104940273,-0.002909845,0.205348515,0.260498942,0.510865221,0.307600062,10.0809155
0.704562931,0.535927762,-0.045399237,-0.008944386,0.688384597,0.716946125,15.04211354
0.199613683,0.00298838,-0.033258717,0.006778181,0.758368383,0.85614857,15.01254526
0.704626665,0.396928252,0.747373324,0.788914057,0.724782713,0.458882113,18.0
0.310745117,-0.100455733,-0.032999021,0.705356208,0.23356399,-0.015493372,10.0
0.969020336,0.308176476,1.107746439,0.533018691,-0.004716454,0.032815687,15.0
0.25697786,-0.001278828,0.151021899,0.214335022,0.604517695,0.19860834,0.077081231
0.214143274,0.994946969,0.960607637,-0.072623707,0.490314334,0.251982989,10.0
0.24069786,1.026744067,-0.040936255,0.766875974,0.271579174,-0.044438735,10.0
0.728354244,0.474602421,0.662823773,-0.018293157,1.076144686,0.292922284,17.99391421
0.247511978,0.487468443,0.961559622,0.591573171,0.488688764,0.975709393,15.0
0.024616444,0.3011067,0.760896074,0.985287008,0.603932641,0.052847069,18.0
0.157017545,0.556970795,0.446268359,0.0439096,0.788047177,0.265213726,12.50854163
0.266293275,1.038707168,0.267826962,0.051722343,0.143420264,0.990132252,14.96447987
0.049384973,0.477525165,-0.089317666,-0.068648956,-0.038197199,0.941146144,5.0
0.590129572,1.015962582,0.516763084,0.398129453,1.014589245,-0.052193393,19.95696579
0.754531784,0.674393298,0.237868768,0.99809127,0.533243684,0.426680769,17.9670688
1.020194084,0.302818641,1.009450147,0.577425157,0.004105035,0.965899711,15.13821385
1.100190924,0.671564379,0.412180522,0.165698617,0.734985395,-0.026031684,10.04264719
0.315627987,0.288659677,0.53727145,0.258174245,0.208479569,0.512543423,10.0
0.180039334,0.734589313,0.036441682,-0.055036688,0.837932667,1.016898345,10.0
0.678762593,0.464052885,1.061149377,0.133721054,0.825141624,0.53111871,20.0
0.999446817,0.547532015,0.532530899,0.989540248,0.426441408,0.351677864,14.96945094
0.535093069,0.698580159,0.027621529,0.895743859,0.66477079,0.761589058,17.96454428
0.651334685,0.170488137,0.216205431,0.037427248,0.858873278,0.771876365,19.99865589
0.805838625,0.440038322,0.806323809,0.959869936,0.307436447,0.485144868,30.0
0.748984184,0.531128311,0.999664976,0.763154804,0.543504023,0.427229701,20.0
0.227186181,0.017268236,0.014941707,0.195850212,0.243885023,0.720876505,15.0
0.469446916,0.168187481,-0.028526864,0.697201863,0.212825427,-0.087933186,14.97900588
0.45237518,0.010883827,0.952025824,0.614861781,0.953269378,-0.004116066,15.02420939
0.987888885,1.012187775,0.457982645,0.129659672,0.677624574,0.478291006,14.95790328
0.525766773,-0.025911868,0.827079084,0.248745437,0.72519598,0.546835648,14.98044068
0.020512602,-0.071237279,0.209455565,0.260543668,0.529995031,0.160251564,10.0
0.281460611,-0.028159167,0.498025,1.076374647,0.464472574,0.265070546,15.0
0.696080444,0.798395781,0.805041774,0.023203319,0.790441443,0.983971961,24.04269166
0.939853699,0.045491445,0.539386012,-0.053944916,0.909016567,0.741418182,15.0
0.515990457,0.941282721,0.009327649,0.23963959,0.213727868,-0.025126587,20.0
0.537137714,0.012379879,0.858872996,0.87830268,0.18087253,0.008146312,19.98140723
0.672464005,0.534155569,0.012052121,0.912030527,0.581975356,0.900411858,10.0
0.905937113,1.06389404,0.515041632,0.548714684,0.497343495,0.977183142,25.05229625
1.053688628,-0.042374386,0.532266955,0.776061881,0.825556159,1.003706616,12.02775938
0.2552508,-0.024583619,-0.027917515,0.191891628,1.005441155,0.947998513,15.0
0.719286269,0.439159343,1.025403564,0.019175352,0.651627492,-0.029139793,13.03029275
0.420493399,0.284294642,0.033873622,0.783256495,0.237413998,0.117151137,15.0
0.99220463,0.009371022,0.795424267,0.919898983,0.313187235,0.651185293,15.00763713
0.2416578,0.546823826,0.798523312,0.568821702,0.056154517,-0.021369378,10.0
0.67800234,0.041637096,0.79151378,0.91660794,0.262131239,0.825238724,2.031207367
0.234945268,0.049860242,0.494536329,1.090147539,0.605567793,0.243221436,15.01250695
0.826888933,0.259730295,0.729968859,0.989891264,1.042028346,-0.000511147,20.0
0.043314918,0.482619649,-0.061524209,0.001475807,0.069244965,0.981065079,5.13112932
0.469670774,0.888519421,0.559677307,0.284284516,-0.003576393,0.476855528,14.97645153
0.757218191,0.115948207,0.801974434,1.039719353,0.230047484,0.70636734,2.0
1.02235635,0.527915831,-0.015343224,0.237234515,-0.107674802,1.043864468,15.0
0.53930368,0.773985482,0.565604204,0.279447014,-0.042664645,0.728581964,17.0
0.506051681,-0.022768318,0.683183156,0.726326136,0.274410597,-0.022218073,20.0
0.442057633,0.828010885,1.006021022,0.986728909,1.042055324,0.053211977,19.97916802
0.28742834,-0.005684244,0.088037079,0.931022384,1.009870534,0.716870172,20.04196011
0.521889362,-0.018476668,1.009433178,-0.025660793,0.233962138,0.238490258,10.0
0.292011913,0.545022461,0.729751733,0.809325088,0.056143668,0.310768195,9.962871978
1.002031582,0.534435008,-0.125866861,0.303137086,-0.027957811,0.958359732,15.08350848
1.022606145,0.042018837,0.490325672,0.977899059,0.319696191,0.542558392,10.0
0.770008136,0.508326991,0.22069855,0.969065627,0.183087016,0.247384293,10.0
0.478964982,-0.039768346,0.702857488,0.718165477,0.381491335,0.75091292,5.0
0.935260278,-0.08867169,0.734620776,0.986209431,0.251314779,0.819124084,15.0
0.967529092,0.958364516,0.50805266,0.615219381,0.524683656,0.98502155,25.0
0.439329788,0.366794763,0.918255267,0.07511175,0.957888986,0.759207706,18.1073298
0.791047017,0.994809508,0.758629192,0.98598506,0.930810738,0.582392676,24.93460717
0.438153428,0.794282371,0.564093752,0.508875535,1.035571212,-0.054615741,9.907786304
0.728127575,0.525405085,0.726797798,0.80573818,0.760777879,0.542141433,17.9799423
0.225966259,0.560879328,0.002824899,0.778092022,1.049668641,0.841402171,20.0
0.636197536,0.765357663,0.70907031,-0.062407413,0.809580787,1.116936347,24.0
0.786874791,0.370916733,-0.049189228,0.964884097,0.540179184,1.010022405,9.925450343
1.018428746,0.942253681,0.436381545,0.514724479,0.182981132,0.281916419,15.0
0.985498878,0.219771199,0.573667267,0.777390482,0.053610332,0.186480042,12.0
0.935879545,0.947301582,0.761963148,0.197874476,0.520498795,1.007972338,30.0
0.444225735,-0.036113928,-0.054803999,0.008726438,0.995368077,0.846619638,16.0
0.525205367,0.180576416,0.218176345,1.051867383,1.023513012,0.736583579,20.0
0.265261771,-0.035762938,0.250667773,0.206032343,0.577827768,0.226517071,0.0
0.990584064,0.810608004,0.530234311,0.236576739,0.635086548,0.00957744,10.0
0.255650853,0.946426873,0.299720735,0.992818062,0.039591453,0.058531747,15.0
0.018332582,0.08373769,0.032181742,0.833243016,0.020417684,0.600224573,10.0
0.704366975,0.209813239,0.549714277,0.716989646,0.214201145,-0.124636956,10.02393753
0.276734494,0.920669922,0.948551906,-0.064891143,0.419988904,0.213424439,10.04916284
0.481225413,-0.077152809,0.027605059,0.970505601,0.030853377,0.799129022,10.0598361
0.815930164,1.040008777,1.006882588,0.257426413,0.414390824,0.562492174,20.0
-0.009760488,0.207707232,0.222983509,0.307312831,0.755045006,0.483572272,11.94084615
0.273959932,0.25990941,1.020752074,0.062853265,-0.004844422,0.238646614,10.05984525
0.014843152,0.831134659,0.55234531,-0.065927612,0.524192088,0.448301358,12.11222202
0.240290338,0.298657479,1.073805886,0.000695194,0.537088386,0.040800255,13.0
0.29748048,0.911022103,0.194253443,0.491257664,0.997408991,0.721539884,10.0
0.824305772,0.751486272,0.83806967,0.453228791,0.230308433,0.018928652,20.0
0.471859465,0.252007637,-0.027317656,1.069567517,0.271593955,0.126773481,10.00049592
0.363237097,0.778565103,0.737410757,0.943290545,-0.088203941,0.147310665,13.98381394
-0.031309968,0.669767523,0.172123988,0.510618924,0.009403994,0.203277141,14.0
0.518653869,0.046822481,-0.067846393,0.983228417,0.053034286,0.741765478,10.0
0.780704115,0.461646177,0.753906692,1.029673678,0.258925012,0.433980574,30.01773184
0.808931551,0.31104609,1.025919251,0.545933564,0.272968031,0.754482371,9.984806218
0.231683218,0.705649532,0.808909507,0.716817619,-0.062326372,0.973946916,12.0
0.686498508,0.445714529,0.231996131,-0.011524844,0.750647708,0.223262617,15.0
0.014156075,0.507616826,-0.003747124,0.738223623,0.188449829,0.563695414,10.0
0.004864415,0.505130298,0.809252718,0.993233803,0.585151511,0.246091199,20.0
0.087149835,0.958417376,0.070823693,0.502890132,0.761095897,0.467217994,15.0
0.780800024,0.522634454,0.041872677,0.583506839,-0.005224754,1.008256319,15.0
0.763866113,0.738080713,0.437928407,0.699893986,0.41947598,0.204502054,24.0
0.752705401,1.003148584,0.212247379,0.969584832,1.00553458,0.313896072,20.0
0.523534732,1.004173157,0.588321807,0.305854571,0.753639353,0.438368554,20.0
0.736231634,1.026139404,0.763765507,-0.04578748,0.079103459,0.269295328,20.0
0.766353839,0.567650802,-0.015523052,0.431338173,-0.02294556,0.994730336,14.97691569
0.428019586,0.075073718,0.726901125,0.788561449,0.416572179,0.722630606,5.042105386
0.546315895,0.546821888,0.96447956,-0.047346137,0.856990543,0.781452911,18.0
0.430944658,1.031454269,0.551542994,0.289295266,0.714776479,0.578337049,19.94002909
0.786640745,0.962151987,0.609317477,1.023509382,0.995431855,0.458079218,25.0
0.713916707,1.032181364,0.446861059,0.506415969,0.060536864,0.273085648,12.0
0.700837412,0.917757476,0.095002441,0.992940758,0.912294872,0.248621783,18.0
1.01018817,1.010921461,0.514309718,0.226515279,0.781124204,0.527849432,15.0
0.681880605,0.994990275,0.254498772,1.027118686,0.952800449,0.263959924,19.90763659
0.537412075,0.246484771,0.757472623,0.763353038,0.004786026,-0.093640425,12.0
0.782929255,0.485471487,0.989939183,0.756772722,0.510463858,0.542615433,19.91135135
0.279049851,0.995091969,0.034144552,0.276291976,0.446526609,0.591345583,10.0
0.973828882,0.99016652,-0.093105256,-0.029812337,0.518474462,0.784397437,15.0
0.988077976,0.937088135,0.831403041,0.216209169,0.415785442,1.008356885,29.9992354
0.335768895,0.484152833,0.49134324,0.704725737,0.205861936,0.794045861,10.0
0.218607887,0.40883844,0.903458784,0.380380173,0.491175835,0.996756779,15.08898193
0.271672624,0.90213105,0.267375358,0.601633951,0.983670298,0.772114097,9.96617695
0.708470051,-0.060382635,1.063875875,0.089736617,0.244804958,0.024395585,1.934743896
0.998294418,-0.000800887,0.574837347,-0.031035858,1.028211694,0.75552805,15.02917538
0.433226319,0.312504087,0.694644109,0.75086189,-0.017988771,-0.000814568,12.07674824
0.745777549,0.530725029,0.273768466,0.233351765,0.278045403,0.56792887,13.96426088
0.448742683,1.005000941,0.514453139,0.514679285,0.680771897,0.722639898,24.91215429
-0.033976145,0.986910143,0.462898695,0.034215412,0.54685011,0.71092981,11.98238426
-0.04921638,1.028866326,0.52435293,-0.022279712,0.963011254,0.724235485,30.0
0.99033656,0.270302409,0.985252018,0.479299175,0.040438225,0.914995951,15.0
0.191325761,0.535135906,0.056622089,1.024012466,0.71860474,0.240865124,15.01387714
0.23403963,0.087426989,0.999925673,1.071228346,0.208546267,1.006711038,19.98963389
0.498442285,0.969584757,0.48740875,0.466005786,1.049539773,0.008524238,20.0
0.776490314,0.213802977,0.015853447,0.415254227,0.794091233,0.73538183,13.99951025
0.32763935,0.45513758,-0.052182448,0.847759493,0.721138485,0.214556984,15.0
-0.083349221,-0.020129245,-0.039169354,0.93512845,0.295303818,1.041947687,9.929338473
0.334472046,0.706959664,-0.031385094,0.026404043,0.8188789,1.007762008,10.03044685
0.297883329,0.533896029,0.484397303,0.056803617,0.709039756,0.280228925,12.5
0.595568181,0.253062117,0.681379105,0.471240021,0.000402429,0.012884132,15.0
0.748614128,0.55882362,0.211886356,1.063369635,0.230702419,0.221877346,9.932508502
0.268364469,0.022823262,0.523505961,0.791435242,0.008264585,0.532219773,15.0
-0.008838064,0.553867631,0.981832478,0.550269231,0.701311411,0.158129894,10.05715687
0.270015181,0.042895546,0.034484868,0.042821187,0.792986149,0.651715541,15.0
-0.071690266,-0.060310092,0.037722597,0.708110175,0.063775247,0.498709508,9.846395055
0.446868396,0.480464501,0.08951799,0.098885565,0.268574094,0.422766257,9.924504486
0.748769236,0.180215804,1.093988088,0.505660003,0.207118233,0.736701186,10.0
0.204959783,0.047096404,0.501346522,0.23794699,0.23768542,-0.045678051,4.997252695
0.284352221,0.441057073,1.054849178,0.219373818,-0.031927618,0.478064013,5.0
0.09138262,1.002815244,1.024643132,1.070549016,0.548642592,0.781476945,20.0
0.529686957,0.295240335,0.752792409,0.5012382,-0.007208368,0.043412519,14.92328216
0.287834642,0.892502915,-0.022975316,0.213521236,0.469214973,0.484490549,9.942489096
0.310746698,-0.004451234,0.016014438,0.958845536,-0.007190978,1.03364248,2.0
0.287591271,0.558982481,0.404199693,0.705849828,0.2960595,0.793144386,10.08770225
0.50882103,0.698196435,0.030918947,1.074349805,0.760940574,0.771731846,18.0
0.203263897,-0.062098352,0.013585887,0.9476441,0.033447293,1.004748379,2.007976381
0.490500899,0.768190891,0.879182923,0.943742545,0.959844415,-0.134180488,20.0
0.756345535,0.916412285,0.473389813,0.517126904,0.071885285,0.252441234,12.10052487
0.02325339,0.55000786,0.715289083,0.963041946,0.468359462,0.380995806,19.95968286
-0.028158053,-0.021788123,0.817006022,0.07138531,0.027444029,-0.030141357,5.0
0.057060551,0.561654931,-0.066446297,0.655351012,0.244931287,0.539931819,9.994643898
0.051845861,0.971226842,0.495875973,0.032239646,0.56365655,0.772671465,12.0
0.957064777,0.955371974,0.289709699,0.707504187,-0.003414575,0.536251576,15.0
0.161202981,0.743620743,0.756517847,0.975612906,-0.069032415,0.281602223,14.0
1.000622906,0.276869108,0.468810872,0.922289559,0.280296964,0.253015846,12.0
-0.051975297,0.247385553,0.254915092,0.23862031,0.80741368,0.491187679,12.0
0.44756886,-0.020283911,1.03649042,0.039305258,0.238993836,0.190208519,10.0255097
0.971487211,0.508475846,0.495469822,0.984399862,0.466799324,0.51645274,15.0
0.245165784,-0.061367529,1.037158568,0.958814839,0.252535779,0.995899969,20.0
-0.034135215,0.523966862,0.3952859,0.963108399,0.350908659,1.046807861,14.9995258
0.05570091,0.987981131,0.043647969,0.504584591,0.81253902,0.463014303,14.93944659
0.483467459,0.534175885,0.341386888,0.142835057,0.529528137,0.546448035,18.00747555
0.980673197,0.15947715,0.887047462,0.468146061,0.055049653,-0.032550785,15.00973892
0.785795808,0.679755338,0.460356851,-0.059907225,-0.030907492,0.491250792,14.94223061
0.757120433,0.466844623,0.759623367,0.020130477,0.985658065,0.251746598,18.0
1.034356125,0.949336144,0.541917923,0.234729161,0.446415334,0.4300631,16.0
0.235459379,0.45774788,0.950668972,0.318597129,0.027781546,0.522437665,4.962113787
0.563326396,0.479201366,0.223729546,0.193641296,0.483649442,0.515296569,18.0
